GSM	sample_title	accession_number	accession_name	growth_temperature	tissue	developmental_stage	target_gene	raw_counts	RPKM	processed_file
GSM1321848	s6125_16C	6125	T710	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321848/suppl/GSM1321848_s6125_16C_expression_table.txt.gz
GSM1321849	s6125_10C	6125	T710	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321849/suppl/GSM1321849_s6125_10C_expression_table.txt.gz
GSM1321850	s6126_10C	6126	T720	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321850/suppl/GSM1321850_s6126_10C_expression_table.txt.gz
GSM1321851	s6126_16C	6126	T720	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321851/suppl/GSM1321851_s6126_16C_expression_table.txt.gz
GSM1321852	s6127_10C	6127	T730	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321852/suppl/GSM1321852_s6127_10C_expression_table.txt.gz
GSM1321853	s6127_16C	6127	T730	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321853/suppl/GSM1321853_s6127_16C_expression_table.txt.gz
GSM1321854	s6128_16C	6128	T740	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321854/suppl/GSM1321854_s6128_16C_expression_table.txt.gz
GSM1321855	s6128_10C	6128	T740	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321855/suppl/GSM1321855_s6128_10C_expression_table.txt.gz
GSM1321856	s6131_10C	6131	T780	10C	whole rosette	9-leaf stage	AT1G11560	0.333333333333	0.000203357818017	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321856/suppl/GSM1321856_s6131_10C_expression_table.txt.gz
GSM1321857	s6131_16C	6131	T780	16C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000330190525758	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321857/suppl/GSM1321857_s6131_16C_expression_table.txt.gz
GSM1321858	s6132_10C	6132	T790	10C	whole rosette	9-leaf stage	AT1G11560	1.0	0.000313447772814	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321858/suppl/GSM1321858_s6132_10C_expression_table.txt.gz
GSM1321859	s6132_16C	6132	T790	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321859/suppl/GSM1321859_s6132_16C_expression_table.txt.gz
GSM1321860	s6136_10C	6136	T840	10C	whole rosette	9-leaf stage	AT1G11560	0.666666666667	0.000252750426157	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321860/suppl/GSM1321860_s6136_10C_expression_table.txt.gz
GSM1321861	s6136_16C	6136	T840	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321861/suppl/GSM1321861_s6136_16C_expression_table.txt.gz
GSM1321862	s6142_10C	6142	T900	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321862/suppl/GSM1321862_s6142_10C_expression_table.txt.gz
GSM1321863	s6142_16C	6142	T900	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321863/suppl/GSM1321863_s6142_16C_expression_table.txt.gz
GSM1321864	s6147_10C	6147	T950	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321864/suppl/GSM1321864_s6147_10C_expression_table.txt.gz
GSM1321865	s6147_16C	6147	T950	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321865/suppl/GSM1321865_s6147_16C_expression_table.txt.gz
GSM1321866	s6149_10C	6149	T970	10C	whole rosette	9-leaf stage	AT1G11560	0.5	0.000313037938088	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321866/suppl/GSM1321866_s6149_10C_expression_table.txt.gz
GSM1321867	s6149_16C	6149	T970	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321867/suppl/GSM1321867_s6149_16C_expression_table.txt.gz
GSM1321868	s6150_10C	6150	T980	10C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321868/suppl/GSM1321868_s6150_10C_expression_table.txt.gz
GSM1321869	s6150_16C	6150	T980	16C	whole rosette	9-leaf stage	AT1G11560	0.0	0.0	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1321nnn/GSM1321869/suppl/GSM1321869_s6150_16C_expression_table.txt.gz
