run	biosample	sample_name	genotype_id	environment	replicate_flag	library_strategy	library_layout	platform	spots	bases	download_path
SRR11933243	SAMN15145362	TY2_WS1	TY2	WS1		RNA-Seq	PAIRED	ILLUMINA	43543804	2017873160	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933243/SRR11933243.lite.1
SRR11933242	SAMN15145363	TY2_WS2	TY2	WS2		RNA-Seq	PAIRED	ILLUMINA	66440849	3258219182	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933242/SRR11933242.lite.1
SRR11933241	SAMN15145364	TY3_WS1	TY3	WS1		RNA-Seq	PAIRED	ILLUMINA	50266267	2228958629	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933241/SRR11933241.lite.1
SRR11933240	SAMN15145365	TY3_WS2	TY3	WS2		RNA-Seq	PAIRED	ILLUMINA	21901852	1087007154	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933240/SRR11933240.lite.1
SRR11933239	SAMN15145366	TY3_WW	TY3	WW		RNA-Seq	PAIRED	ILLUMINA	71647550	3254456504	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933239/SRR11933239.lite.1
SRR11933238	SAMN15145367	TY4_WS1	TY4	WS1		RNA-Seq	PAIRED	ILLUMINA	29290258	1360540558	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933238/SRR11933238.lite.1
SRR11933237	SAMN15145368	TY4_WS2	TY4	WS2		RNA-Seq	PAIRED	ILLUMINA	147460924	7227422640	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933237/SRR11933237.lite.1
SRR11933236	SAMN15145369	TY5_WS2	TY5	WS2		RNA-Seq	PAIRED	ILLUMINA	54849433	2772556079	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933236/SRR11933236.lite.1
SRR11933235	SAMN15145370	TY5_WW	TY5	WW		RNA-Seq	PAIRED	ILLUMINA	65585644	3311865694	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933235/SRR11933235.lite.1
SRR11933058	SAMN15145371	TY6_WS1	TY6	WS1		RNA-Seq	PAIRED	ILLUMINA	34491796	1757737840	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933058/SRR11933058.lite.1
SRR11933057	SAMN15145372	TY6_WS2	TY6	WS2		RNA-Seq	PAIRED	ILLUMINA	45772112	2328132888	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933057/SRR11933057.lite.1
SRR11933056	SAMN15145373	U8112_WS1	U8112	WS1		RNA-Seq	PAIRED	ILLUMINA	39932910	2032627320	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933056/SRR11933056.lite.1
SRR11933055	SAMN15145374	U8112_WS2	U8112	WS2		RNA-Seq	PAIRED	ILLUMINA	46558568	2371259579	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933055/SRR11933055.lite.1
SRR11933054	SAMN15145375	U8112_WW	U8112	WW		RNA-Seq	PAIRED	ILLUMINA	43944706	2238358088	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933054/SRR11933054.lite.1
SRR11933053	SAMN15145376	W138_WS1	W138	WS1		RNA-Seq	PAIRED	ILLUMINA	37787933	1923552210	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933053/SRR11933053.lite.1
SRR11933052	SAMN15145377	W138_WS2	W138	WS2		RNA-Seq	PAIRED	ILLUMINA	99904726	5086085279	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933052/SRR11933052.lite.1
SRR11933051	SAMN15145378	W138_WW	W138	WW		RNA-Seq	PAIRED	ILLUMINA	40899784	2081710337	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933051/SRR11933051.lite.1
SRR11933050	SAMN15145379	W22_WS1	W22	WS1		RNA-Seq	PAIRED	ILLUMINA	49271727	2236925385	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933050/SRR11933050.lite.1
SRR11933025	SAMN15145380	W22_WS1_REP	W22	WS1	REP	RNA-Seq	PAIRED	ILLUMINA	59400267	2994306656	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933025/SRR11933025.lite.1
SRR11933023	SAMN15145381	W22_WS2	W22	WS2		RNA-Seq	PAIRED	ILLUMINA	91371140	4517458244	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933023/SRR11933023.lite.1
SRR11933022	SAMN15145382	W22_WW	W22	WW		RNA-Seq	PAIRED	ILLUMINA	76669516	3711797385	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933022/SRR11933022.lite.1
SRR11933021	SAMN15145383	W22_WW_REP	W22	WW	REP	RNA-Seq	PAIRED	ILLUMINA	48329506	2460544388	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933021/SRR11933021.lite.1
SRR11933020	SAMN15145384	WH413_WS1	WH413	WS1		RNA-Seq	PAIRED	ILLUMINA	60040250	3031782749	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933020/SRR11933020.lite.1
SRR11933019	SAMN15145385	WH413_WS2	WH413	WS2		RNA-Seq	PAIRED	ILLUMINA	65860835	3347080209	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933019/SRR11933019.lite.1
SRR11933018	SAMN15145386	WH413_WW	WH413	WW		RNA-Seq	PAIRED	ILLUMINA	32248921	1638761549	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933018/SRR11933018.lite.1
SRR11933017	SAMN15145387	WU109_WS1	WU109	WS1		RNA-Seq	PAIRED	ILLUMINA	28142640	1433359573	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933017/SRR11933017.lite.1
SRR11933016	SAMN15145388	WU109_WS2	WU109	WS2		RNA-Seq	PAIRED	ILLUMINA	26644534	1311159677	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933016/SRR11933016.lite.1
SRR11933015	SAMN15145389	WU109_WW	WU109	WW		RNA-Seq	PAIRED	ILLUMINA	70004534	3180836378	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933015/SRR11933015.lite.1
SRR11933014	SAMN15145390	X178_WS1	X178	WS1		RNA-Seq	PAIRED	ILLUMINA	37106249	1715793849	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933014/SRR11933014.lite.1
SRR11933012	SAMN15145391	X178_WS2	X178	WS2		RNA-Seq	PAIRED	ILLUMINA	57344744	2819074397	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933012/SRR11933012.lite.1
SRR11933011	SAMN15145392	X178_WW	X178	WW		RNA-Seq	PAIRED	ILLUMINA	94051288	4270679039	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933011/SRR11933011.lite.1
SRR11933010	SAMN15145393	YE52106_WS1	YE52106	WS1		RNA-Seq	PAIRED	ILLUMINA	31547089	1543838228	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933010/SRR11933010.lite.1
SRR11933009	SAMN15145394	YE52106_WS2	YE52106	WS2		RNA-Seq	PAIRED	ILLUMINA	40064131	2037964064	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933009/SRR11933009.lite.1
SRR11933008	SAMN15145395	YE52106_WW	YE52106	WW		RNA-Seq	PAIRED	ILLUMINA	24310829	1212202019	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933008/SRR11933008.lite.1
SRR11933007	SAMN15145396	YE8001_WS1	YE8001	WS1		RNA-Seq	PAIRED	ILLUMINA	37348884	1902692742	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933007/SRR11933007.lite.1
SRR11933006	SAMN15145397	YE8001_WS2	YE8001	WS2		RNA-Seq	PAIRED	ILLUMINA	32213828	1603308176	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933006/SRR11933006.lite.1
