GSM	sample_title	accession_id	cultivar	tissue	developmental_stage
GSM2135955	PT2.21 (8077)	8077	PT2.21	leaf	before bolting
GSM2135956	RMX3.22 (8132)	8132	RMX3.22	leaf	before bolting
GSM2135957	Bro1-6 (8231)	8231	Bro1-6	leaf	before bolting
GSM2135958	Dem-4 (8233)	8233	Dem-4	leaf	before bolting
GSM2135959	Gul1-2 (8234)	8234	Gul1-2	leaf	before bolting
GSM2135960	Hod (8235)	8235	Hod	leaf	before bolting
GSM2135961	HSm (8236)	8236	HSm	leaf	before bolting
GSM2135962	Kent (8238)	8238	Kent	leaf	before bolting
GSM2135963	Koln (8239)	8239	Koln	leaf	before bolting
GSM2135964	PHW-34 (8244)	8244	PHW-34	leaf	before bolting
GSM2135965	NC-6 (8246)	8246	NC-6	leaf	before bolting
GSM2135966	San-2 (8247)	8247	San-2	leaf	before bolting
GSM2135967	Ba5-1 (8259)	8259	Ba5-1	leaf	before bolting
GSM2135968	Bla-1 (8264)	8264	Bla-1	leaf	before bolting
GSM2135969	Boo2-1 (8266)	8266	Boo2-1	leaf	before bolting
GSM2135970	Cen-0 (8275)	8275	Cen-0	leaf	before bolting
GSM2135971	DraII-1 (8284)	8284	DraII-1	leaf	before bolting
GSM2135972	En-1 (8290)	8290	En-1	leaf	before bolting
GSM2135973	Ge-0 (8297)	8297	Ge-0	leaf	before bolting
GSM2135974	Lip-0 (8325)	8325	Lip-0	leaf	before bolting
GSM2135975	Lu-1 (8334)	8334	Lu-1	leaf	before bolting
GSM2135976	Mir-0 (8337)	8337	Mir-0	leaf	before bolting
GSM2135977	Na-1 (8343)	8343	Na-1	leaf	before bolting
GSM2135978	Ost-0 (8351)	8351	Ost-0	leaf	before bolting
GSM2135979	Pa-1 (8353)	8353	Pa-1	leaf	before bolting
GSM2135980	Pla-0 (8357)	8357	Pla-0	leaf	before bolting
GSM2135981	Rak-2 (8365)	8365	Rak-2	leaf	before bolting
GSM2135982	Rd-0 (8366)	8366	Rd-0	leaf	before bolting
GSM2135983	Sap-0 (8378)	8378	Sap-0	leaf	before bolting
GSM2135984	Sr:5 (8386)	8386	Sr:5	leaf	before bolting
GSM2135985	Wil-1 (8419)	8419	Wil-1	leaf	before bolting
GSM2135986	Kas-2 (8424)	8424	Kas-2	leaf	before bolting
GSM2135987	Uod-2 (8428)	8428	Uod-2	leaf	before bolting
GSM2135988	Lisse (8430)	8430	Lisse	leaf	before bolting
GSM2135989	LP3413.41 (8472)	8472	LP3413.41	leaf	before bolting
GSM2135990	328ME059 (8584)	8584	328ME059	leaf	before bolting
GSM2135991	MIC-31 (870)	870	MIC-31	leaf	before bolting
GSM2135992	Xan-3 (9067)	9067	Xan-3	leaf	before bolting
GSM2135993	Lerik1-4 (9075)	9075	Lerik1-4	leaf	before bolting
GSM2135994	Lerik1-7 (9078)	9078	Lerik1-7	leaf	before bolting
GSM2135995	Lerik2-1 (9079)	9079	Lerik2-1	leaf	before bolting
GSM2135996	Lerik2-3 (9081)	9081	Lerik2-3	leaf	before bolting
GSM2135997	Lerik2-6 (9084)	9084	Lerik2-6	leaf	before bolting
GSM2135998	Lerik2-7 (9085)	9085	Lerik2-7	leaf	before bolting
GSM2135999	Nar-3 (9089)	9089	Nar-3	leaf	before bolting
GSM2136000	Nar-5 (9091)	9091	Nar-5	leaf	before bolting
GSM2136001	Istisu-5 (9095)	9095	Istisu-5	leaf	before bolting
GSM2136002	Istisu-9 (9099)	9099	Istisu-9	leaf	before bolting
GSM2136003	Lag1-2 (9100)	9100	Lag1-2	leaf	before bolting
GSM2136004	Lag1-4 (9102)	9102	Lag1-4	leaf	before bolting
GSM2136005	Lag1-5 (9103)	9103	Lag1-5	leaf	before bolting
GSM2136006	Lag1-6 (9104)	9104	Lag1-6	leaf	before bolting
GSM2136007	Lag1-7 (9105)	9105	Lag1-7	leaf	before bolting
GSM2136008	Lag1-8 (9106)	9106	Lag1-8	leaf	before bolting
GSM2136009	Lag2-4 (9111)	9111	Lag2-4	leaf	before bolting
GSM2136010	Lag2-6 (9113)	9113	Lag2-6	leaf	before bolting
GSM2136011	Lag2-7 (9114)	9114	Lag2-7	leaf	before bolting
GSM2136012	Lag2-10 (9115)	9115	Lag2-10	leaf	before bolting
GSM2136013	Bak-5 (9121)	9121	Bak-5	leaf	before bolting
GSM2136014	Geg-14 (9125)	9125	Geg-14	leaf	before bolting
GSM2136015	Yeg-2 (9128)	9128	Yeg-2	leaf	before bolting
GSM2136016	Yeg-4 (9130)	9130	Yeg-4	leaf	before bolting
GSM2136017	Yeg-5 (9131)	9131	Yeg-5	leaf	before bolting
GSM2136018	Yeg-7 (9133)	9133	Yeg-7	leaf	before bolting
GSM2136019	Yeg-8 (9134)	9134	Yeg-8	leaf	before bolting
GSM2136020	LIN S-5 (915)	915	LIN S-5	leaf	before bolting
GSM2136021	Edinburgh-1 (9298)	9298	Edinburgh-1	leaf	before bolting
GSM2136022	Ullapool-8 (9312)	9312	Ullapool-8	leaf	before bolting
GSM2136023	Gol-2 (9314)	9314	Gol-2	leaf	before bolting
GSM2136024	CHA-41 (932)	932	CHA-41	leaf	before bolting
GSM2136025	Adal 1 (9321)	9321	Adal 1	leaf	before bolting
GSM2136026	Gron 12 (9386)	9386	Gron 12	leaf	before bolting
GSM2136027	Gron 14 (9388)	9388	Gron 14	leaf	before bolting
GSM2136028	HolA-1 1 (9404)	9404	HolA-1 1	leaf	before bolting
GSM2136029	HolA-1 2 (9405)	9405	HolA-1 2	leaf	before bolting
GSM2136030	Kal 1 (9408)	9408	Kal 1	leaf	before bolting
GSM2136031	Kia 1 (9409)	9409	Kia 1	leaf	before bolting
GSM2136032	Lan 1 (9421)	9421	Lan 1	leaf	before bolting
GSM2136033	Nyl 13 (9433)	9433	Nyl 13	leaf	before bolting
GSM2136034	Spro 2 (9451)	9451	Spro 2	leaf	before bolting
GSM2136035	11C1 (9503)	9503	11C1	leaf	before bolting
GSM2136036	IP-Alo-0 (9506)	9506	IP-Alo-0	leaf	before bolting
GSM2136037	IP-Coa-0 (9507)	9507	IP-Coa-0	leaf	before bolting
GSM2136038	IP-Mos-1 (9508)	9508	IP-Mos-1	leaf	before bolting
GSM2136039	IP-Reg-0 (9509)	9509	IP-Reg-0	leaf	before bolting
GSM2136040	IP-Rei-0 (9510)	9510	IP-Rei-0	leaf	before bolting
GSM2136041	IP-Vav-0 (9511)	9511	IP-Vav-0	leaf	before bolting
GSM2136042	IP-Vid-1 (9512)	9512	IP-Vid-1	leaf	before bolting
GSM2136043	IP-Adc-5 (9513)	9513	IP-Adc-5	leaf	before bolting
GSM2136044	IP-Adm-0 (9514)	9514	IP-Adm-0	leaf	before bolting
GSM2136045	IP-Ala-0 (9515)	9515	IP-Ala-0	leaf	before bolting
GSM2136046	IP-Ali-1 (9516)	9516	IP-Ali-1	leaf	before bolting
GSM2136047	IP-All-0 (9517)	9517	IP-All-0	leaf	before bolting
GSM2136048	IP-Alm-0 (9518)	9518	IP-Alm-0	leaf	before bolting
GSM2136049	IP-Ang-0 (9519)	9519	IP-Ang-0	leaf	before bolting
